Title,Description,Start Date,Start Time,End Time,Location,Category,Registration Type,Speakers
"Mesa 9 - Datacenters da sociedade civil organizada: possibilidades e lutas",,2026-05-19,13:30,14:40,Anfiteatro,Mesa,registration_disabled,"Flynn (CONFIRMADO), Junior Paixão (CONFIRMADO), Moacir Neto (CONFIRMADO), Marco Mendes (CONFIRMADO), Mauro Salles (A CONFIRMAR)"
"Mesa 10 - Soberania Digital na sociedade civil organizada",,2026-05-19,14:40,16:00,Anfiteatro,Mesa,registration_disabled,"Flynn (CONFIRMADO), Rosemary Segurado (CONFIRMADO), Vince Tozzi (CONFIRMADO), Jader Gama (CONFIRMADO), Lívia Ascava (CONFIRMADA), Maraiza (A CONFIRMAR), Éverton Ribeiro (CONFIRMADO), Alexandre Zago Boava (CONFIRMADO)"
"Coffee break",,2026-05-19,16:00,16:20,Anfiteatro,Intervalo,registration_disabled,
"Mesa 11 - Web Social Aberta: Redes Sociais Livres e Federadas para se libertar das Big Techs",,2026-05-19,16:20,17:30,Anfiteatro,Mesa,registration_disabled,"Wladimir (CONFIRMADO), Guilherme Flynn Paciornik (CONFIRMADO), José Murilo Jr (CONFIRMADO), Biana F (CONFIRMADA), Ursal (Aguarando indicação de nome)"
"Mesa 12 - Sindical: Construção de alinhamento da classe trabalhadora","A importância da soberania digital na pauta de reivindicações dos servidores federais, como contribuição no avanço para toda classe trabalhadora.",2026-05-19,17:30,19:00,Anfiteatro,Mesa,registration_disabled,"Marcia Honda (CONFIRMADO), FONASEFE (Servidores Federais) (CONFIRMADO), SindiReceita (Aguardando), FENASPS (Aguardando), Stela Almeida (CONFIRMADO), Reinaldo Soares (CONFIRMADO), Jonsué Martins (CONFIRMADO), Crispim (CONFIRMADO), Eduardo Araújo (Aguardando)"
"Frente Parlamental e Plano Nacional de Soberania Digital","A CONFIRMAR",2026-05-19,19:00,20:00,Anfiteatro,Especial,registration_disabled,
"Chegada e boas vindas",,2026-05-19,08:30,,Auditório 1 (60 lugares),Abertura,registration_disabled,
"Mesa 13 – Soberania digital nas Eleições","a partir das novas regras do TSE para propaganda eleitoral online, como assegurar a soberania digital?",2026-05-19,09:00,10:30,Auditório 1 (60 lugares),Mesa,registration_disabled,"Paulo Rená (CONFIRMADO), Letícia Cesarino (CONFIRMADO), Jader Gam (CONFIRMADO), Rafaela Ferreira (Aguarando confirmação), Mateus Mendes (Convidado), Luis Felipe (A CONFIRMAR)"
"Mesa 14 – A quem pertence o prontuário?","Diálogos sobre soberania digital e sanitária frente a mercantilização da vida.",2026-05-19,10:35,12:00,Auditório 1 (60 lugares),Mesa,registration_disabled,"Lucas da Costa Brandão (CONFIRMADO), Raquel Rachid (CONFIRMADA PRESENCIAL), Adriana Macedo Marques (CONFIRMADA PRESENCIAL), Uirá Porã (CONFIRMADO PRESENCIAL), Nésio Fernandes (CONFIRMADO ONLINE)"
"ALMOÇO",,2026-05-19,12:00,13:30,Auditório 1 (60 lugares),Intervalo,registration_disabled,
"Mesa 15– Soberania Digital e Inteligência Artificial",,2026-05-19,13:30,15:00,Auditório 1 (60 lugares),Mesa,registration_disabled,"Márcia Honda (CONFIRMADO), Natália Lobo (CONFIRMADO), José Vital (CONFIRMADO), Valdir Bueira (CONFIRMADO), Lucas Brandão (CONFIRMADO), Observatório de IA – Contraf (Aguarando confirmar), Greg (A CONFIRMAR), Oráculo ICL (???)"
"MESA 16 - Lançamento do Índice de Soberania Digital (Digital Sovereignty Index – DSI) do BRICS","Desenvolvido pelo BRICS Tech Forum em parceria com a UnB, a USP e a FGV",2026-05-19,15:00,16:00,Auditório 1 (60 lugares),Mesa,registration_disabled,"Isa Rocha (CONFIRMADO)"
"Coffee Break",,2026-05-19,16:00,16:20,Auditório 1 (60 lugares),Intervalo,registration_disabled,
"Mesa 19 - Lançamento documentário: ""Quem tá tomando conta desse espaço?""","apresentação do documentário de aproximadamente 20 minutos sobre a luta pela regulação de plataformas digitais no Brasil seguido de uma roda de conversa sobre o tema",2026-05-19,16:30,17:30,Auditório 1 (60 lugares),Mesa,registration_disabled,"Alexandre Arns Gonzales (CONFIRMADO), Paulo Rená (CONFIRMADO)"
"Mesa 18 – Curta Juris Máquina",,2026-05-19,18:00,19:00,Auditório 1 (60 lugares),Mesa,registration_disabled,"Paulo Rená (CONFIRMADO), Tainá Junquilho (CONFIRMADO), Ana Farranha (CONFIRMADO), Rosane Cordeiro (CONFIRMADO), Débora Siroteau (A CONFIRMAR), Eduardo Marcelino (CONFIRMADO), Fernanda Rodrigues (Aguarando confirmação), Fernanda Lauria (Aguarando confirmação)"
"Roda de conversa/Plenária? 1 - Pensando futuros – Os caminhos da luta da Rede Nacional de Soberania DIgital","como organizar? Quais as lutas principais?",2026-05-19,07:30,09:00,"Auditório 2 (60 lugares - sem internet)",Roda de conversa,registration_disabled,
"Roda de Conversa / Letramento Soberano + Frente Parlamental",,2026-05-19,09:30,10:45,"Auditório 2 (60 lugares - sem internet)",Roda de Conversa,registration_disabled,"Uirá / Marcia Honda"
"Intervalo",,2026-05-19,10:45,12:00,"Auditório 2 (60 lugares - sem internet)",Intervalo,registration_disabled,
"ALMOÇO",,2026-05-19,12:00,13:30,"Auditório 2 (60 lugares - sem internet)",Intervalo,registration_disabled,
"Roda de conversa 1 – EDUCAÇÃO E SOBERANIA DIGITAL","Como organizar os debates de soberania digital na Educação? Quais os próximos passos? Como se organizar? COMBATER A PLATAFORMIZAÇÃO DA EDUCAÇÃO",2026-05-19,13:30,15:00,"Auditório 2 (60 lugares - sem internet)",Roda de conversa,registration_disabled,"a CONFIRMAR"
"Roda de conversa 2- Qual a pilha de software livre para a sociedade civil?","Do sistema operacional à nuvem. O que usar e indicar?",2026-05-19,15:30,16:00,"Auditório 2 (60 lugares - sem internet)",Roda de conversa,registration_disabled,"a CONFIRMAR"
"Coffee Break",,2026-05-19,16:00,16:30,"Auditório 2 (60 lugares - sem internet)",Intervalo,registration_disabled,
"MESA 17 - Lançamento do livro Teia Popular - Soberania Digital de Henrique Pereira","Debate com Sérgio Amadeu",2026-05-19,16:30,17:30,"Auditório 2 (60 lugares - sem internet)",Mesa,registration_disabled,"Henrique Pereira (CONFIRMADO), Sérgio Amadeu (CONFIRMADO)"
"Reservado para RESF e outras iniciativas, discussão de uma nova IA","NÃO COLOCAR NA PROGRAMAÇÃO OFICIAL",2026-05-19,08:00,10:00,Sala de Reuniões VIP,Especial,registration_disabled,
"Roda de Conversa 3: Por que a soberania digital precisa da economia solidária e feminista e do software livre?",,2026-05-19,10:30,12:00,Sala de Reuniões VIP,Roda de Conversa,registration_disabled,"Nati e Everton (CONFIRMADO), Nati (CONFIRMADA), Inês Simon (CONFIRMADA), Everton Rodrigues (CONFIRMADO)"
